std_smiles,pIC50,activity_class
NCCNCc1nccn1-c1ccc(-c2nc(CCc3cccc4ccccc34)cs2)c(OCCN2CCNC2=O)c1,4.892790030352131,Inactive
CCCCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCOCC1,6.026872146400302,Active
O=c1ccc2cc(C(F)(F)F)cc([N+](=O)[O-])c2[nH]1,4.732828271596986,Inactive
c1ccc2cc(CCCNCCCCCCCCCNCCCc3ccc4ccccc4c3)ccc2c1,6.107905397309519,Active
O=C(CCN1CCN(c2ccc(Cl)cc2)CC1)c1ccc(F)c(F)c1,4.8124792791635365,Inactive
COc1ccc(C(=O)/C=C/c2ccc(C#N)cc2)c(OC)c1OC,5.0655015487564325,Active
Cn1nccc1C(=O)N1CCCC(c2cc3ncccc3[nH]2)C1,4.1938200260161125,Inactive
NCCCCNCc1ccc(OC2=CC(=O)c3ccccc3C2=O)cc1,5.109858539935423,Active
COc1ccc(/N=C(\Nc2ccccc2)c2ccccc2)cc1,5.552841968657781,Active
Cn1c(-c2cccc(F)c2)cnc1NC(=O)c1ccc(F)cc1,4.920818753952375,Inactive
COc1cccc(N2CCN(C(=O)c3cc4c([nH]c5ccccc54)c(-c4ccccc4)n3)CC2)c1,5.54591772926891,Active
NC(=O)c1ccc(-c2cccc(OCCN3CCN(C4CCCCC4)CC3)c2)cc1,4.499999953328896,Inactive
C(=N\Nc1ncnc2sc3c(c12)CCCC3)/c1ccc2ccccc2c1,4.876148359032914,Inactive
O=C(NCCc1csc(-c2ccccc2)n1)c1ccccc1O,5.102372908709558,Active
N#Cc1ccccc1N1CCN(C(=O)Cn2cnc([N+](=O)[O-])n2)CC1,4.836391436568948,Inactive
C=CCc1ccc(OCCCc2cn(Cc3ccc(OC(F)(F)F)cc3)nn2)c(OC)c1,3.835944708106549,Inactive
O=C(c1cc(C2CC2)no1)N1CCCC(c2cc3ncccc3[nH]2)C1,5.392009141452825,Active
CCCc1ccc(Oc2cc(CN3CCCCC3)cc(OC)c2OCc2ccc(OC)cc2)cc1,5.522878745280337,Active
Cn1nc2c3c(cc(-c4ccnc(N)n4)cc31)Oc1ccccc1N2,6.0,Active
CNc1nc(N)nc2c1ncn2[C@@H]1O[C@H](C)[C@@H](O)[C@H]1O,3.486782399932061,Inactive
Nc1nc(N)nc(N/N=C/c2ccc([N+](=O)[O-])o2)n1,5.6777807052660805,Active
C=CCc1ccc(Oc2cc(CC=C)cc(OC)c2OCc2ccccc2)c(OC)c1,5.022276394711152,Active
Cc1ccc(C2=NOC3(SCc4ccccc4C3=O)C2c2ccc(C)cc2)cc1,4.941573975542995,Inactive
C=CCc1ccc(OCC(O)Cn2cc(COc3ccc(OC)cc3)nn2)c(OC)c1,3.721932669111337,Inactive
O=C(c1cscn1)N1CCC(NC(c2ccc(C(F)(F)F)cc2)c2cccnc2)CC1,6.660548558693559,Active
CCCCCC(=O)c1c(O)cc(C)oc1=O,4.860120913598763,Inactive
CN(C)CCN(C)C(=O)Cn1cccc2cc(-c3ccc(F)cc3)nc1-2,4.944432470609653,Inactive
COc1ccc(-c2cnc(NC(=O)c3cccc(O)c3)n2C)cc1,4.267606240177032,Inactive
O=C(NCC(c1ccsc1)N1CCCCCC1)c1ccc(C(F)(F)F)cc1,4.792839225954743,Inactive
COc1cc2c(cc1OC)[C@H]1[C@@H](C)c3ccc(OC)c(OC)c3CN1CC2,4.647128176548404,Inactive
N=C(N)c1cccc(OCc2cccc3c(COc4cccc(C(=N)N)c4)cccc23)c1,5.345823458122039,Active
Cc1nc2c(Br)cc(Cl)cn2c1[N+](=O)[O-],4.493494967595128,Inactive
CCS(=O)(=O)Nc1ccc(C2=NN(C(=O)c3cccs3)C(c3ccccc3OC)C2)cc1,5.100000128334196,Active
CC1(C)[C@H]2[C@@H]1CC[C@@H]1Cc3c(O)c(C=O)c(O)c(C=O)c3O[C@@]12C,5.250905167337115,Active
COc1cccc(SC(C2=C(O)C(=O)c3ccccc3C2=O)c2ccc([N+](=O)[O-])cc2)c1,4.47755576649368,Inactive
C/C(=C\c1ccccc1)C(=O)/C=C/c1ccc(N(C)C)cc1,4.876148359032914,Inactive
Fc1ccc(F)c(COC(CCn2ccnc2)c2cccs2)c1,5.133712660915805,Active
O=C(CCN1CCN(c2ccc(C(F)(F)F)cc2)CC1)c1ccc(F)c(F)c1,4.476253533188435,Inactive
O=C1NC(=O)/C(=C/c2cc(Cl)cc(Cl)c2Cl)S1,4.517698232776557,Inactive
CCc1cc[nH]c2c3ccccc3nc1-2,4.669586226650809,Inactive
O=C1c2ccccc2C(=O)N1Nc1nc(-c2ccc3ccccc3c2)cs1,5.008773924307505,Active
CC(O)(c1cccnc1)[C@H]1CC[C@H]2[C@@H]3CCC4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,5.441291429466834,Active
CCn1c(-c2ccc(OCC(=O)Nc3cccc(C(F)(F)F)c3)cc2)nc2ccccc2c1=O,4.691862621361961,Inactive
C=CCn1c(=S)sc2c(Sc3nnc(-c4ccco4)o3)ncnc21,5.267606240177032,Active
COc1nc(N[C@H]2CC[C@H](NS(=O)(=O)CCC(F)(F)F)CC2)nc2[nH]nc(N3CCOCC3)c12,5.899998417198648,Active
O=C(C[Se]C(=O)c1ccccc1)Nc1ccc(Br)cc1,5.259999900311453,Active
CC(C)=CCC/C(C)=C/COc1cccc(/C=C/C(=O)c2ccccc2)c1,4.7603252123532185,Inactive
Cc1ccc(-c2cc(C3CC(c4cccs4)=NN3)n(-c3ccccc3)n2)cc1,5.684029654543083,Active
c1cc(OCCCOc2cccc(C3=NCCN3)c2)cc(C2=NCCN2)c1,4.511449283499556,Inactive
Brc1cc(Oc2ccccc2)ccc1OCCOC1C=CC=CO1,4.173925197299174,Inactive
CC(C)(C)OC(=O)/C=C/c1ccc2c(c1)[C@H](C(=O)OC(C)(C)C)[C@@H](c1ccc(OC(C)(C)C)cc1)O2,4.882728704344236,Inactive
Cc1nn(-c2ccc(S(=O)(=O)Nc3ccc(Cl)cc3)cc2)c(Cl)c1Br,7.187086643357144,Active
CCCCC(O)(c1ccc(Cl)cc1)C(CN1CCOCC1)c1ccc(Cl)cc1,4.993106719507509,Inactive
Cc1cnc(Nc2cc(Cc3ccccc3)nc(N[C@H]3CC[C@H](O)CC3)n2)s1,7.055492652727987,Active
CN(C)c1nccn2c(-c3ccnc(N)n3)c(-c3ccc(F)cc3)nc12,5.001304841688344,Active
O=c1[nH]cnc2c1cnn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,5.1438755557577,Active
COc1ccc(-c2cc(C)no2)cc1S(=O)(=O)Nc1ccc(C)c(C)c1,5.188587549874739,Active
COc1cccc(-c2nc(O)c3ccccc3n2)c1,5.039053804266168,Active
Cc1ccc2c(c1)N1CCN=C1N2Cc1ccc(C(C)(C)C)cc1,5.1938200260161125,Active
Cc1cc2c3cccn3c3ccccc3[n+]2nc1C,6.045757490560675,Active
CN(C)c1nccn2c(-c3ccnc(N)n3)c(-c3ccccc3)nc12,4.631713115097869,Inactive
CC1(COc2ccc(-c3ccc(F)nc3)nc2)Cn2cc([N+](=O)[O-])nc2O1,5.102372908709558,Active
Fc1cc(Cl)cc(N2CCC(NC(c3cccnc3)c3ccc(Cl)cc3F)CC2)c1,7.721246399047171,Active
CCN(CCc1nc2ncc(Cl)cc2[nH]1)C(=O)c1ccc(F)cc1,4.1938200260161125,Inactive
Cc1ncsc1CNc1cnc(-c2ccc3c(c2)OCCO3)c(-c2cnn(C)c2)c1,4.800000052738446,Inactive
O=[N+]([O-])c1ccc(/C=N/N=C/c2ccccc2)s1,5.387746093903563,Active
CCN(Cc1cccnc1)c1ccc(-c2ccc(F)cc2)cc1F,7.769551078621726,Active
C/C(=C\c1ccccc1)C(=O)/C=C/c1ccccc1,4.3585258894959,Inactive
O=C(NCCCn1cnc([N+](=O)[O-])n1)c1ccc(C(F)(F)F)nc1,4.015450184934386,Inactive
N#CSCCNc1ccc(Oc2ccccc2)cc1,3.85078088734462,Inactive
O=C(OC(Cn1ccnc1)c1ccc(Cl)cc1)N1CCN(c2ccc([N+](=O)[O-])cc2)CC1,6.060480747381382,Active
CC1=NN(C(=O)CCn2cnc([N+](=O)[O-])n2)C(O)(C(F)(F)F)C1,5.700000503883016,Active
Cc1ncc(C(F)F)n1-c1ccc(Cl)cc1,5.769551078621726,Active
O=C(c1cscn1)N1CCC(NC(c2cccnc2)c2ccc(Cl)cc2F)CC1,6.617982957425132,Active
Cc1cc(C)c(Oc2nc(N)nc(Nc3c(F)cccc3F)n2)c(C)c1,4.488116639021126,Inactive
CCCc1ccc(Oc2cc(CCC)cc(OC)c2OCc2ccccc2)c(OC)c1,5.1249387366083,Active
CC/C(=C\c1ccc(Cl)cc1)C(C)=O,4.236572006437063,Inactive
CCOc1ccc(OCc2ccc(C(=O)N3CCCC(C)C3)cc2)cc1,3.9706162223147903,Inactive
Cc1nc(C)c(C(=O)Nc2ccc(F)c(-c3nc4ncc(-c5ccccc5)cn4n3)c2)o1,7.1487416512809245,Active
CC(=O)N1N=C(c2cc(-c3ccccc3)nc3c2c(C)nn3-c2ccccc2)OC1c1cccc(O)c1,4.97798426018228,Inactive
O=S(=O)(C1CCCCC1)N1CCC(NC(c2cnccn2)c2ccc(F)cc2F)CC1,6.376750709602099,Active
O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1CCCCCCn1cc(CSc2ccccc2)nn1,7.221848749616356,Active
C[C@@H]1CC[C@H]2[C@@H](CCCCc3ccccc3)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4,5.096910013008056,Active
O=C(CCN1CCN(c2ccc([N+](=O)[O-])cc2)CC1)c1ccc(O)cc1,4.605548319173784,Inactive
CC1(COc2ccc(OC(F)(F)F)cc2)Cn2cc([N+](=O)[O-])nc2S1(=O)=O,5.7447274948966935,Active
O=[N+]([O-])c1cn2c(n1)OC(COc1ccc(-c3ccc(F)cc3)nc1)C2,7.522878745280337,Active
COc1cc(C(c2nnnn2C2CCCCC2)N2CCc3c([nH]c4ccccc34)C2)cc(OC)c1OC,5.6595558851598815,Active
CCOc1ccc(C2=NN(C(C)=O)C(c3ccc([N+](=O)[O-])s3)O2)cc1,4.574465779501737,Inactive
