molecule_chembl_id,std_smiles,canonical_smiles,pIC50,activity_class,standard_type,target_organism,organism_key,scaffold,assay_chembl_id,assay_description
CHEMBL5195384,O=C(c1cccc(Cl)c1)N1CCN(Cc2ccc(N3CCCCS3(=O)=O)cc2)CC1,O=C(c1cccc(Cl)c1)N1CCN(Cc2ccc(N3CCCCS3(=O)=O)cc2)CC1,4.6,Inactive,EC50,Trypanosoma cruzi,T_cruzi,O=C(c1ccccc1)N1CCN(Cc2ccc(N3CCCCS3(=O)=O)cc2)CC1,CHEMBL5115680,Antitrypanosomal activity against intracellularTrypanosoma cruzi amastigote
CHEMBL5177328,O=C(c1cccc(Cl)c1)N1CCN(Cc2ccc(NS(=O)(=O)CC3CCCO3)cc2)CC1,O=C(c1cccc(Cl)c1)N1CCN(Cc2ccc(NS(=O)(=O)CC3CCCO3)cc2)CC1,4.8,Inactive,EC50,Trypanosoma cruzi,T_cruzi,O=C(c1ccccc1)N1CCN(Cc2ccc(NS(=O)(=O)CC3CCCO3)cc2)CC1,CHEMBL5115680,Antitrypanosomal activity against intracellularTrypanosoma cruzi amastigote
CHEMBL5171327,O=C(c1cccc(Cl)c1)N1CCN(Cc2ccc(NS(=O)(=O)c3ccc4c(c3)OCO4)cc2)CC1,O=C(c1cccc(Cl)c1)N1CCN(Cc2ccc(NS(=O)(=O)c3ccc4c(c3)OCO4)cc2)CC1,6.8,Active,EC50,Trypanosoma cruzi,T_cruzi,O=C(c1ccccc1)N1CCN(Cc2ccc(NS(=O)(=O)c3ccc4c(c3)OCO4)cc2)CC1,CHEMBL5115680,Antitrypanosomal activity against intracellularTrypanosoma cruzi amastigote
CHEMBL5204107,O=C(c1cccc(Cl)c1)N1CCN(Cc2ccc(NS(=O)(=O)c3ccccc3)cc2)CC1,O=C(c1cccc(Cl)c1)N1CCN(Cc2ccc(NS(=O)(=O)c3ccccc3)cc2)CC1,5.8,Active,EC50,Trypanosoma cruzi,T_cruzi,O=C(c1ccccc1)N1CCN(Cc2ccc(NS(=O)(=O)c3ccccc3)cc2)CC1,CHEMBL5115680,Antitrypanosomal activity against intracellularTrypanosoma cruzi amastigote
CHEMBL1331520,O=C1c2ccccc2S(=O)(=O)N1Cc1nc2ccccc2s1,O=C1c2ccccc2S(=O)(=O)N1Cc1nc2ccccc2s1,5.48,Active,IC50,Trypanosoma cruzi,T_cruzi,O=C1c2ccccc2S(=O)(=O)N1Cc1nc2ccccc2s1,CHEMBL1677384,"Antimicrobial activity against Trypanosoma cruzi Y infected in rat L6E9 myoblasts assessed as inhibition of [5,6-3H]uracil incorporation after 3 days postinfection by scintillation counter"
CHEMBL1863141,O=S(=O)(C1CCCCC1)N1CCC(NC(c2ccc(C(F)(F)F)cc2)c2cnccn2)CC1,O=S(=O)(C1CCCCC1)N1CCC(NC(c2ccc(C(F)(F)F)cc2)c2cnccn2)CC1,6.24,Active,IC50,Trypanosoma cruzi,T_cruzi,O=S(=O)(C1CCCCC1)N1CCC(NC(c2ccccc2)c2cnccn2)CC1,CHEMBL1863510,"DNDI: Inhibition of Chagas Disease parasite Trypanosoma cruzi (Tulahuen LacZ, Clone C4), in vitro."
CHEMBL1862810,O=S(=O)(C1CCCCC1)N1CCC(NC(c2cnccn2)c2ccc(F)cc2F)CC1,O=S(=O)(C1CCCCC1)N1CCC(NC(c2cnccn2)c2ccc(F)cc2F)CC1,6.38,Active,IC50,Trypanosoma cruzi,T_cruzi,O=S(=O)(C1CCCCC1)N1CCC(NC(c2ccccc2)c2cnccn2)CC1,CHEMBL1863510,"DNDI: Inhibition of Chagas Disease parasite Trypanosoma cruzi (Tulahuen LacZ, Clone C4), in vitro."
CHEMBL1863474,O=S(=O)(C1CCCCC1)N1CCN(C(c2ccc(Cl)cc2)c2cccnc2)CC1,O=S(=O)(C1CCCCC1)N1CCN(C(c2ccc(Cl)cc2)c2cccnc2)CC1,8.0,Active,IC50,Trypanosoma cruzi,T_cruzi,O=S(=O)(C1CCCCC1)N1CCN(C(c2ccccc2)c2cccnc2)CC1,CHEMBL1863510,"DNDI: Inhibition of Chagas Disease parasite Trypanosoma cruzi (Tulahuen LacZ, Clone C4), in vitro."
CHEMBL1863037,O=S(=O)(C1CCCCC1)N1CCN(C(c2ccc(Cl)cc2)c2cncnc2)CC1,O=S(=O)(C1CCCCC1)N1CCN(C(c2ccc(Cl)cc2)c2cncnc2)CC1,7.19,Active,IC50,Trypanosoma cruzi,T_cruzi,O=S(=O)(C1CCCCC1)N1CCN(C(c2ccccc2)c2cncnc2)CC1,CHEMBL1863510,"DNDI: Inhibition of Chagas Disease parasite Trypanosoma cruzi (Tulahuen LacZ, Clone C4), in vitro."
CHEMBL1862858,O=S(=O)(C1CCCCC1)N1CCN(C(c2cncnc2)c2ccc(Cl)cc2F)CC1,O=S(=O)(C1CCCCC1)N1CCN(C(c2cncnc2)c2ccc(Cl)cc2F)CC1,7.75,Active,IC50,Trypanosoma cruzi,T_cruzi,O=S(=O)(C1CCCCC1)N1CCN(C(c2ccccc2)c2cncnc2)CC1,CHEMBL1863510,"DNDI: Inhibition of Chagas Disease parasite Trypanosoma cruzi (Tulahuen LacZ, Clone C4), in vitro."
CHEMBL1862921,O=S(=O)(Cc1ccccc1)N1CCC(NC(c2ccc(C(F)(F)F)cc2)c2cnccn2)CC1,O=S(=O)(Cc1ccccc1)N1CCC(NC(c2ccc(C(F)(F)F)cc2)c2cnccn2)CC1,6.68,Active,IC50,Trypanosoma cruzi,T_cruzi,O=S(=O)(Cc1ccccc1)N1CCC(NC(c2ccccc2)c2cnccn2)CC1,CHEMBL1863510,"DNDI: Inhibition of Chagas Disease parasite Trypanosoma cruzi (Tulahuen LacZ, Clone C4), in vitro."
CHEMBL1863410,O=S(=O)(Cc1ccccc1)N1CCC(NC(c2cnccn2)c2ccc(F)cc2F)CC1,O=S(=O)(Cc1ccccc1)N1CCC(NC(c2cnccn2)c2ccc(F)cc2F)CC1,6.72,Active,IC50,Trypanosoma cruzi,T_cruzi,O=S(=O)(Cc1ccccc1)N1CCC(NC(c2ccccc2)c2cnccn2)CC1,CHEMBL1863510,"DNDI: Inhibition of Chagas Disease parasite Trypanosoma cruzi (Tulahuen LacZ, Clone C4), in vitro."
CHEMBL1863137,O=S(=O)(Cc1ccccc1)N1CCN(C(c2ccc(Cl)cc2)c2cccnc2)CC1,O=S(=O)(Cc1ccccc1)N1CCN(C(c2ccc(Cl)cc2)c2cccnc2)CC1,7.5,Active,IC50,Trypanosoma cruzi,T_cruzi,O=S(=O)(Cc1ccccc1)N1CCN(C(c2ccccc2)c2cccnc2)CC1,CHEMBL1863510,"DNDI: Inhibition of Chagas Disease parasite Trypanosoma cruzi (Tulahuen LacZ, Clone C4), in vitro."
