molecule_chembl_id,std_smiles,canonical_smiles,pIC50,activity_class,standard_type,target_organism,organism_key,scaffold,assay_chembl_id,assay_description
CHEMBL3431133,CS(=O)(=O)N[C@H]1CC[C@@H](Oc2cc3cnccc3cc2-c2ccsc2)CC1,CS(=O)(=O)N[C@H]1CC[C@@H](Oc2cc3cnccc3cc2-c2ccsc2)CC1.O=C(O)C(F)(F)F,4.6,Inactive,IC50,Leishmania donovani,L_donovani,c1cc2cc(-c3ccsc3)c(OC3CCCCC3)cc2cn1,CHEMBL3431451,"GSK_TCAKS: pIC50 Leishmania donovani Imaging: Infected Macrophages. Assay plates (384-well) were prepared by adding 250nL of compound to each well. For single shot assay, the final compound concentration was 5 uM. For potency determinations, eleven-point one in three dilution curves were generated with a top concentration of 50 uM. Two exposure images were taken for each well using 405 nm and 488 nm laser excitation. Automated image analysis was performed with a script developed on Acapella High Content Imaging and Analysis Software (PerkinElmer). Output: Percent of infected macrophage cells were reported for each well."
CHEMBL3431207,CS(=O)(=O)N[C@H]1CC[C@H](Nc2ncc(Br)c(Nc3ccccc3C(N)=O)n2)CC1,CS(=O)(=O)N[C@H]1CC[C@H](Nc2ncc(Br)c(Nc3ccccc3C(N)=O)n2)CC1,6.05,Active,IC50,Leishmania donovani,L_donovani,c1ccc(Nc2ccnc(NC3CCCCC3)n2)cc1,CHEMBL3431450,"GSK_TCAKS: pIC50 Leishmania donovani viability assay using fluorescence intensity. Assay plates (1536-well) were prepared by adding 30nL per well of compound. For single shot assay, the final compound concentration was 5uM. For potency determinations, eleven-point one in three dilution curves were generated with a top concentration of 50uM. Briefly, eGFP LdBOB axenic amastigotes were harvested, fixed and counted in a CASY cell counter (Roche-Applied Science). A final concentration of 1.5 * 10^5 cells per well were prepared in amastigote media containing 500 U/mL penicillin/streptomycin (Invitrogen) and 6uL was dispensed to each experimental well using a Multidrop Combi dispenser (Thermo Scientific). 6uL of assay media was dispensed to control columns used as reference for 100% compound response. Following incubation for 72 h at 37C, 5% CO2, 2 uL of resazurin was added to each well at a final concentration of 0.5 mM in phosphate buffered saline (PBS) with IGEPAL (Sigma-Aldrich), 0.05% (v/v). The plates were incubated for 4 h at room temperature and resorufin fluorescence was detected using a PerkinElmer EnVision plate reader with excitation at 528 nm and emission at 590 nm."
CHEMBL4471873,C[C@@H]1CN(c2[nH]nc3nc(N[C@H]4CC[C@H](NS(=O)(=O)CCC(F)(F)F)CC4)ncc23)CCO1,C[C@@H]1CN(c2n[nH]c3nc(N[C@H]4CC[C@H](NS(=O)(=O)CCC(F)(F)F)CC4)ncc23)CCO1,5.3,Active,EC50,Leishmania donovani,L_donovani,c1nc(NC2CCCCC2)nc2n[nH]c(N3CCOCC3)c12,CHEMBL4369850,Antileishmanial activity against Leishmania donovani axenic amastigote infected in human THP1 cells by intramacrophage assay
CHEMBL4563818,C[C@H]1CN(c2[nH]nc3nc(N[C@H]4CC[C@H](NS(=O)(=O)CCC(F)(F)F)CC4)ncc23)CCO1,C[C@H]1CN(c2n[nH]c3nc(N[C@H]4CC[C@H](NS(=O)(=O)CCC(F)(F)F)CC4)ncc23)CCO1,5.875,Active,EC50,Leishmania donovani,L_donovani,c1nc(NC2CCCCC2)nc2n[nH]c(N3CCOCC3)c12,CHEMBL4369850,Antileishmanial activity against Leishmania donovani axenic amastigote infected in human THP1 cells by intramacrophage assay
CHEMBL4104679,Cc1cc(C)c(C)c(S(=O)(=O)N2CCCc3ccccc32)c1C,Cc1cc(C)c(C)c(S(=O)(=O)N2CCCc3ccccc32)c1C,6.44,Active,IC50,Leishmania donovani,L_donovani,O=S(=O)(c1ccccc1)N1CCCc2ccccc21,CHEMBL4045491,Antiparasitic activity against Leishmania donovani MHOM-ET-67/L82 axenic amastigotes after 72 hrs by Alamar blue assay
CHEMBL4068026,Cc1cc(C)c(C)c(S(=O)(=O)N2CCc3ccccc32)c1C,Cc1cc(C)c(C)c(S(=O)(=O)N2CCc3ccccc32)c1C,6.14,Active,IC50,Leishmania donovani,L_donovani,O=S(=O)(c1ccccc1)N1CCc2ccccc21,CHEMBL4045491,Antiparasitic activity against Leishmania donovani MHOM-ET-67/L82 axenic amastigotes after 72 hrs by Alamar blue assay
CHEMBL4070401,Cc1cc(C)c(C)c(S(=O)(=O)N2CCc3ccccc3C2)c1C,Cc1cc(C)c(C)c(S(=O)(=O)N2CCc3ccccc3C2)c1C,6.12,Active,IC50,Leishmania donovani,L_donovani,O=S(=O)(c1ccccc1)N1CCc2ccccc2C1,CHEMBL4045491,Antiparasitic activity against Leishmania donovani MHOM-ET-67/L82 axenic amastigotes after 72 hrs by Alamar blue assay
CHEMBL4060175,Cc1cc(C)c(C)c(S(=O)(=O)N2c3ccccc3CC2C)c1C,Cc1cc(C)c(C)c(S(=O)(=O)N2c3ccccc3CC2C)c1C,6.64,Active,IC50,Leishmania donovani,L_donovani,O=S(=O)(c1ccccc1)N1CCc2ccccc21,CHEMBL4045491,Antiparasitic activity against Leishmania donovani MHOM-ET-67/L82 axenic amastigotes after 72 hrs by Alamar blue assay
CHEMBL4063225,Cc1cc(C)c(C)c(S(=O)(=O)N2c3ccccc3CCC2C)c1C,Cc1cc(C)c(C)c(S(=O)(=O)N2c3ccccc3CCC2C)c1C,6.21,Active,IC50,Leishmania donovani,L_donovani,O=S(=O)(c1ccccc1)N1CCCc2ccccc21,CHEMBL4045491,Antiparasitic activity against Leishmania donovani MHOM-ET-67/L82 axenic amastigotes after 72 hrs by Alamar blue assay
CHEMBL3430914,Cc1cc(C)cc(NS(=O)(=O)c2cc(-c3cc(C)[nH]n3)ccc2C)c1,Cc1cc(C)cc(NS(=O)(=O)c2cc(-c3cc(C)n[nH]3)ccc2C)c1,5.5,Active,IC50,Leishmania donovani,L_donovani,O=S(=O)(Nc1ccccc1)c1cccc(-c2cc[nH]n2)c1,CHEMBL3431451,"GSK_TCAKS: pIC50 Leishmania donovani Imaging: Infected Macrophages. Assay plates (384-well) were prepared by adding 250nL of compound to each well. For single shot assay, the final compound concentration was 5 uM. For potency determinations, eleven-point one in three dilution curves were generated with a top concentration of 50 uM. Two exposure images were taken for each well using 405 nm and 488 nm laser excitation. Automated image analysis was performed with a script developed on Acapella High Content Imaging and Analysis Software (PerkinElmer). Output: Percent of infected macrophage cells were reported for each well."
CHEMBL3431010,Cc1ccc(-c2csc(NC(=O)C=Cc3ccc(S(=O)(=O)N4CCOCC4)cc3)n2)o1,Cc1ccc(-c2csc(NC(=O)C=Cc3ccc(S(=O)(=O)N4CCOCC4)cc3)n2)o1,5.3,Active,IC50,Leishmania donovani,L_donovani,O=C(C=Cc1ccc(S(=O)(=O)N2CCOCC2)cc1)Nc1nc(-c2ccco2)cs1,CHEMBL3431451,"GSK_TCAKS: pIC50 Leishmania donovani Imaging: Infected Macrophages. Assay plates (384-well) were prepared by adding 250nL of compound to each well. For single shot assay, the final compound concentration was 5 uM. For potency determinations, eleven-point one in three dilution curves were generated with a top concentration of 50 uM. Two exposure images were taken for each well using 405 nm and 488 nm laser excitation. Automated image analysis was performed with a script developed on Acapella High Content Imaging and Analysis Software (PerkinElmer). Output: Percent of infected macrophage cells were reported for each well."
CHEMBL2172405,Cc1ccc(S(=O)(=O)N(CCOCCOc2ccc(-c3cc(=O)c4ccccc4o3)cc2)CCOCCOc2ccc(-c3cc(=O)c4ccccc4o3)cc2)cc1,Cc1ccc(S(=O)(=O)N(CCOCCOc2ccc(-c3cc(=O)c4ccccc4o3)cc2)CCOCCOc2ccc(-c3cc(=O)c4ccccc4o3)cc2)cc1,4.0,Inactive,IC50,Leishmania donovani,L_donovani,O=c1cc(-c2ccc(OCCOCCN(CCOCCOc3ccc(-c4cc(=O)c5ccccc5o4)cc3)S(=O)(=O)c3ccccc3)cc2)oc2ccccc12,CHEMBL2175842,Antimicrobial activity against wild-type Leishmania donovani AG83 promastigote assessed as inhibition of parasite growth after 72 hrs by MTS assay
CHEMBL591748,Cc1ccc(S(=O)(=O)N2c3ccccc3CCC2C)cc1,Cc1ccc(S(=O)(=O)N2c3ccccc3CCC2C)cc1,4.65,Inactive,IC50,Leishmania donovani,L_donovani,O=S(=O)(c1ccccc1)N1CCCc2ccccc21,CHEMBL1073485,Antileishmanial activity against Leishmania donovani infected in rat L6 cells
CHEMBL2070689,Cc1ccc(S(=O)(=O)NCCCn2cnc([N+](=O)[O-])n2)cc1,Cc1ccc(S(=O)(=O)NCCCn2cnc([N+](=O)[O-])n2)cc1,4.42,Inactive,IC50,Leishmania donovani,L_donovani,O=S(=O)(NCCCn1cncn1)c1ccccc1,CHEMBL2072680,Antileishmanial activity against Leishmania donovani MHOM-ET67/L82 amastigotes
