molecule_chembl_id,std_smiles,canonical_smiles,pIC50,activity_class,standard_type,target_organism,organism_key,scaffold,assay_chembl_id,assay_description
CHEMBL394918,O=S(=O)(Nc1cccc2cccnc12)c1cc(Br)c(Br)s1,O=S(=O)(Nc1cccc2cccnc12)c1cc(Br)c(Br)s1,5.54,Active,IC50,Leishmania amazonensis,L_amazonensis,O=S(=O)(Nc1cccc2cccnc12)c1cccs1,CHEMBL900365,Antiprotozoal activity against Leishmania amazonensis 575 in vero cells
CHEMBL239272,O=S(=O)(Nc1cccc2cccnc12)c1cc(F)cc(F)c1,O=S(=O)(Nc1cccc2cccnc12)c1cc(F)cc(F)c1,5.67,Active,IC50,Leishmania amazonensis,L_amazonensis,O=S(=O)(Nc1cccc2cccnc12)c1ccccc1,CHEMBL900365,Antiprotozoal activity against Leishmania amazonensis 575 in vero cells
CHEMBL240550,O=S(=O)(Nc1cccc2cccnc12)c1ccc(-c2ccccc2)cc1,O=S(=O)(Nc1cccc2cccnc12)c1ccc(-c2ccccc2)cc1,5.2,Active,IC50,Leishmania amazonensis,L_amazonensis,O=S(=O)(Nc1cccc2cccnc12)c1ccc(-c2ccccc2)cc1,CHEMBL900365,Antiprotozoal activity against Leishmania amazonensis 575 in vero cells
CHEMBL239478,O=S(=O)(Nc1cccc2cccnc12)c1ccc(Br)cc1,O=S(=O)(Nc1cccc2cccnc12)c1ccc(Br)cc1,5.31,Active,IC50,Leishmania amazonensis,L_amazonensis,O=S(=O)(Nc1cccc2cccnc12)c1ccccc1,CHEMBL900365,Antiprotozoal activity against Leishmania amazonensis 575 in vero cells
CHEMBL240549,O=S(=O)(Nc1cccc2cccnc12)c1cnc(Cl)c(Br)c1,O=S(=O)(Nc1cccc2cccnc12)c1cnc(Cl)c(Br)c1,5.65,Active,IC50,Leishmania amazonensis,L_amazonensis,O=S(=O)(Nc1cccc2cccnc12)c1cccnc1,CHEMBL900365,Antiprotozoal activity against Leishmania amazonensis 575 in vero cells
CHEMBL3085885,O=S(=O)(Nc1cccc2cnccc12)c1ccc(Cl)cc1,O=S(=O)(Nc1cccc2cnccc12)c1ccc(Cl)cc1,5.08,Active,IC50,Leishmania amazonensis,L_amazonensis,O=S(=O)(Nc1cccc2cnccc12)c1ccccc1,CHEMBL3090726,Leishmanicidal activity against extracellular promastigote stage of Leishmania amazonensis MHOM/Br/79/Maria assessed as reduction of parasite load after 48 hrs by resazurin dye-based fluorometric analysis
CHEMBL4647491,O=S(=O)(Nc1cccc2cnccc12)c1ccc2ccccc2c1,O=S(=O)(Nc1cccc2cnccc12)c1ccc2ccccc2c1,4.37,Inactive,IC50,Leishmania amazonensis,L_amazonensis,O=S(=O)(Nc1cccc2cnccc12)c1ccc2ccccc2c1,CHEMBL4602742,Antileishmanial activity against Leishmania amazonensis
CHEMBL3085886,O=S(=O)(Nc1cccc2cnccc12)c1cccc2ccccc12,O=S(=O)(Nc1cccc2cnccc12)c1cccc2ccccc12,4.49,Inactive,IC50,Leishmania amazonensis,L_amazonensis,O=S(=O)(Nc1cccc2cnccc12)c1cccc2ccccc12,CHEMBL3090716,Leishmanicidal activity against intracellular amastigote stage of Leishmania amazonensis MHOM/Br/79/Maria infected in mouse J774 cells assessed as reduction of parasite load after 48 hrs by resazurin dye-based fluorometric analysis
CHEMBL3085906,O=S(=O)(Nc1nccc2ccccc12)c1ccc(Cl)cc1,O=S(=O)(Nc1nccc2ccccc12)c1ccc(Cl)cc1,4.08,Inactive,IC50,Leishmania amazonensis,L_amazonensis,O=S(=O)(Nc1nccc2ccccc12)c1ccccc1,CHEMBL3090726,Leishmanicidal activity against extracellular promastigote stage of Leishmania amazonensis MHOM/Br/79/Maria assessed as reduction of parasite load after 48 hrs by resazurin dye-based fluorometric analysis
CHEMBL3085907,O=S(=O)(Nc1nccc2ccccc12)c1ccccc1,O=S(=O)(Nc1nccc2ccccc12)c1ccccc1,4.03,Inactive,IC50,Leishmania amazonensis,L_amazonensis,O=S(=O)(Nc1nccc2ccccc12)c1ccccc1,CHEMBL3090726,Leishmanicidal activity against extracellular promastigote stage of Leishmania amazonensis MHOM/Br/79/Maria assessed as reduction of parasite load after 48 hrs by resazurin dye-based fluorometric analysis
CHEMBL594199,O=[N+]([O-])c1ccc(S(=O)(=O)Nc2ccc3[nH]ncc3c2)cc1,O=[N+]([O-])c1ccc(S(=O)(=O)Nc2ccc3[nH]ncc3c2)cc1,4.18,Inactive,IC50,Leishmania amazonensis,L_amazonensis,O=S(=O)(Nc1ccc2[nH]ncc2c1)c1ccccc1,CHEMBL3090726,Leishmanicidal activity against extracellular promastigote stage of Leishmania amazonensis MHOM/Br/79/Maria assessed as reduction of parasite load after 48 hrs by resazurin dye-based fluorometric analysis
CHEMBL3085898,O=[N+]([O-])c1ccc(S(=O)(=O)Nc2ccc3c[nH]nc3c2)cc1,O=[N+]([O-])c1ccc(S(=O)(=O)Nc2ccc3cn[nH]c3c2)cc1,4.22,Inactive,IC50,Leishmania amazonensis,L_amazonensis,O=S(=O)(Nc1ccc2c[nH]nc2c1)c1ccccc1,CHEMBL3090726,Leishmanicidal activity against extracellular promastigote stage of Leishmania amazonensis MHOM/Br/79/Maria assessed as reduction of parasite load after 48 hrs by resazurin dye-based fluorometric analysis
CHEMBL3085887,O=[N+]([O-])c1ccc(S(=O)(=O)Nc2ccc3nccnc3c2)cc1,O=[N+]([O-])c1ccc(S(=O)(=O)Nc2ccc3nccnc3c2)cc1,3.7039933306863277,Inactive,IC50,Leishmania amazonensis,L_amazonensis,O=S(=O)(Nc1ccc2nccnc2c1)c1ccccc1,CHEMBL3090726,Leishmanicidal activity against extracellular promastigote stage of Leishmania amazonensis MHOM/Br/79/Maria assessed as reduction of parasite load after 48 hrs by resazurin dye-based fluorometric analysis
CHEMBL3085900,O=[N+]([O-])c1ccc(S(=O)(=O)Nc2ccc3ncsc3c2)cc1,O=[N+]([O-])c1ccc(S(=O)(=O)Nc2ccc3ncsc3c2)cc1,4.05,Inactive,IC50,Leishmania amazonensis,L_amazonensis,O=S(=O)(Nc1ccc2ncsc2c1)c1ccccc1,CHEMBL3090726,Leishmanicidal activity against extracellular promastigote stage of Leishmania amazonensis MHOM/Br/79/Maria assessed as reduction of parasite load after 48 hrs by resazurin dye-based fluorometric analysis
CHEMBL3085905,O=[N+]([O-])c1ccc(S(=O)(=O)Nc2nccc3ccccc23)cc1,O=[N+]([O-])c1ccc(S(=O)(=O)Nc2nccc3ccccc23)cc1,4.57,Inactive,IC50,Leishmania amazonensis,L_amazonensis,O=S(=O)(Nc1nccc2ccccc12)c1ccccc1,CHEMBL3090726,Leishmanicidal activity against extracellular promastigote stage of Leishmania amazonensis MHOM/Br/79/Maria assessed as reduction of parasite load after 48 hrs by resazurin dye-based fluorometric analysis
CHEMBL593264,O=[N+]([O-])c1ccc(S(=O)(=O)Nc2ncccn2)cc1,O=[N+]([O-])c1ccc(S(=O)(=O)Nc2ncccn2)cc1,4.16,Inactive,IC50,Leishmania amazonensis,L_amazonensis,O=S(=O)(Nc1ncccn1)c1ccccc1,CHEMBL3090726,Leishmanicidal activity against extracellular promastigote stage of Leishmania amazonensis MHOM/Br/79/Maria assessed as reduction of parasite load after 48 hrs by resazurin dye-based fluorometric analysis
