feature,mean_shap,abs_mean_shap,std_shap,type
mordred_GATS7i,-0.0006694458,0.017097002,0.022024907,Mordred 2D
mordred_GATS6c,-0.00042230784,0.01705161,0.04516914,Mordred 2D
mordred_CIC4,-0.00020828265,0.017038807,0.023184631,Mordred 2D
mordred_GATS6s,2.269741e-05,0.016868154,0.02222044,Mordred 2D
mordred_BCUTdv-1l,0.00093849987,0.016805694,0.030136157,Mordred 2D
mordred_ATSC3c,5.5673263e-05,0.01676029,0.025724337,Mordred 2D
mordred_AATS4v,0.0012138103,0.01674636,0.052643456,Mordred 2D
mordred_ATSC2c,2.6062695e-05,0.016586818,0.028232459,Mordred 2D
mordred_VSA_EState2,0.0011759204,0.016490575,0.026798997,Mordred 2D
mordred_SMR_VSA1,0.0019606275,0.016466968,0.021487463,Mordred 2D
rdkit_fr_pyridine,0.0029679944,0.016445883,0.029856162,RDKit 2D
ECFP6_3162,0.00062211446,0.016046647,0.025824875,ECFP6 Fingerprint
mordred_ATSC4dv,0.0014013962,0.016033234,0.021452988,Mordred 2D
mordred_AATSC3i,-0.001210854,0.016023424,0.022117823,Mordred 2D
rdkit_FpDensityMorgan2,0.0015743126,0.015882874,0.019431911,RDKit 2D
mordred_GATS8v,0.0036692552,0.015805118,0.019372689,Mordred 2D
rdkit_FpDensityMorgan1,-0.00019562416,0.01573808,0.02145533,RDKit 2D
mordred_AATSC4i,0.001543555,0.015681058,0.02801687,Mordred 2D
mordred_AATSC6Z,-0.0019149834,0.01566532,0.021724656,Mordred 2D
mordred_RotRatio,-0.0003856256,0.015605659,0.023250908,Mordred 2D
mordred_SssCH2,-0.0012072925,0.0156011805,0.021311037,Mordred 2D
mordred_PEOE_VSA4,0.0018723266,0.015552725,0.024958882,Mordred 2D
mordred_ATSC5d,0.0006212328,0.015536007,0.021792835,Mordred 2D
mordred_GATS5Z,0.0008906534,0.0154145835,0.021426853,Mordred 2D
mordred_GATS8c,-0.00030725735,0.015369204,0.020172263,Mordred 2D
mordred_ZMIC2,0.0005578817,0.015265326,0.019556023,Mordred 2D
mordred_GATS3dv,-0.00095618336,0.015181618,0.017821407,Mordred 2D
mordred_MATS1c,0.00051162887,0.015140267,0.019790925,Mordred 2D
mordred_GATS5p,0.0012799118,0.01513498,0.01915069,Mordred 2D
